"longitude" "latitude" "obs" "CMAQ"
-73.05694 40.8275 80.5 78.9613
-74.49414 42.1438 53.375 48.0895
-77.17376 43.23087 59.571 54.8826
-73.76398 41.052 75.25 68.4544
-81.18417 35.90361 52.75 53.9886
-81.93417 35.97167 47.5 56.0249
-82.6 35.5 56.75 66.4488
-81.53028 35.93583 50.875 54.1677
-76.12157 36.32691 32.625 40.8994
-79.46741 36.30703 50.125 57.8923
-79.15972 35.75722 48.75 63.5498
-78.72803 35.15869 70.875 60.6736
-78.9625 34.96889 74.875 62.4016
-80.55911 35.80929 46.75 49.9326
-77.96078 34.95482 57.125 47.0616
-78.90417 36.03556 54.125 62.6254
-77.58278 35.98833 49.875 51.3654
-80.22667 36.11056 37.25 50.0033
-80.41055 36.23639 34 55.657
-80.21584 36.20306 39 52.5754
-80.14389 36.05083 29.25 49.0903
-78.46372 36.09619 63.125 62.839
-78.76806 36.14111 55.375 60.8498
-79.70389 36.11333 34.5 47.1626
-82.96472 35.50528 59.5 57.5821
-82.7925 35.37917 55.714 58.7876
-83.0775 35.59 58.625 55.5377
-83.23611 35.52444 60.375 54.978
-78.46194 35.59083 67.5 60.5637
-77.56879 35.23146 46.125 46.7863
-81.27675 35.43856 61.875 53.3851
-76.89782 35.81069 32.875 43.5599
-80.78555 35.24028 44 46.1446
-80.91972 35.11306 45.875 49.0375
-80.69361 35.34861 41.625 45.5799
-77.83861 34.36417 53.25 44.0296
-77.61998 36.48438 55.375 67.6258
-79.09197 36.30696 54.625 61.3943
-77.59889 35.58333 38.875 48.1146
-79.86528 35.83055 31.5 51.1485
-79.85917 36.30889 44 50.9864
-80.39504 35.55187 40.875 48.7888
-80.66756 35.53448 46.125 45.5046
-83.4437 35.43551 45.125 52.5509
-80.54083 34.97389 43.375 49.8694
-78.57417 35.85611 62.875 63.5047
-78.61972 35.79002 66.25 63.5047
-78.7925 35.59694 75 67.5418
-78.53528 35.67639 65.90625 62.3765
-82.28523 35.73774 61.286 56.8088
-96.8546 46.93362 34.5 42.7668
-84.05194 40.77222 76.143 63.7906
-80.5725 41.95944 97.25 69.1899
-84.54417 39.38333 98.125 98.9161
-84.3925 39.53 89.125 80.9643
-83.80444 40.00083 73.25 72.2416
-83.9975 39.85556 70.5 74.7627
-84.14417 39.08306 72.75 74.5993
-83.78861 39.43 70.75 66.6714
-81.575 41.555 77.125 101.042
-81.86472 41.36167 87.875 79.8699
-81.45917 41.53667 87 90.1568
-83.06389 40.35695 96.143 82.5984
-82.95722 39.91417 84.875 72.943
-82.81556 40.08667 86.75 76.5981
-82.95805 39.96528 84.25 84.1628
-82.95972 40.08778 83.125 87.9195
-81.24944 41.515 102.75 74.7404
-83.94334 39.66556 70 66.9675
-84.36597 39.2785 94.625 90.8442
-84.69072 39.21493 93.125 95.4386
-84.50417 39.12861 88.25 97.8892
-80.61555 40.36278 79.125 69.528
-82.69194 40.30972 88.125 66.4953
-81.4225 41.67306 100.25 122.068
-81.24194 41.7225 101.63 89.2107
-82.66666 38.52028 84.5 78.6077
-82.4575 38.62917 73.375 69.7012
-82.43278 40.02583 77.875 71.6686
-82.11056 41.36806 77.125 49.758
-83.54667 41.64417 86.375 68.6352
-83.71861 41.49472 68.625 62.0339
-83.30695 41.67556 80.125 79.2382
-83.475 41.71944 84.375 68.6352
-83.47583 39.78861 74.375 59.9479
-80.65861 41.09611 87.5 81.8336
-81.91167 41.10278 94.25 74.2813
-84.11472 40.08472 66.5 69.9427
-84.195 39.81389 82.5 91.9614
-81.33028 41.1825 97.75 78.5378
-84.72083 39.83556 72 84.5219
-81.37861 40.82778 95.75 68.323
-81.60111 40.70861 90.25 68.3455
-81.33167 40.87028 94.25 75.0639
-81.12361 40.93083 88.625 75.6665
-81.50389 41.10611 98.125 83.8733
-80.66611 41.25889 89.875 85.517
-80.59167 41.45389 78.625 86.3365
-84.20111 39.42 80.143 72.6375
-81.46028 39.43167 74.625 81.7523
-83.61166 41.37806 86.625 63.8667
-97.10833 34.0775 55.625 53.46
-94.98611 35.855 59.375 47.5951
-97.48833 35.32 50.5 51.6048
-98.36611 34.64889 52.875 44.5669
-98.03555 34.22833 65 43.6966
-97.07445 36.66278 54.375 57.3002
-95.0725 34.70972 27 41.5065
-97.47389 35.16139 52.375 49.8671
-96.71472 34.0025 63.375 54.6907
-97.50584 35.51694 53.875 52.0759
-97.47222 35.61278 61.75 55.223
-94.83889 36.92222 59.125 45.2086
-96 36.37389 68.125 66.9665
-96.0025 35.93889 53.625 46.814
-96.25555 36.1275 53.875 46.7446
-95.76436 36.13337 57 45.1724
-95.97659 36.2066 59.625 60.9358
-79.96111 40.46556 75.75 64.8801
-80.01639 40.44556 82 64.8801
-80.18555 40.38194 80.25 69.2801
-79.73222 40.61722 73.875 61.721
-79.565 40.81417 79.5 62.6187
-80.50417 40.5625 87.125 66.6332
-80.35972 40.68472 73 65.8794
-80.31667 40.74778 89.375 69.892
-75.78611 40.51111 75.5 70.6882
-75.92667 40.32028 82.875 71.6246
-78.37083 40.53528 63 53.4119
-74.88223 40.10722 87 68.9966
-78.915 40.30972 63.875 50.874
-77.87703 40.81139 61.625 55.641
-77.62214 40.77456 64.625 58.4515
